geometry.coordinates,geometry.type,id,properties.alert,properties.cdi,properties.code,properties.detail,properties.dmin,properties.felt,properties.gap,properties.ids,properties.mag,properties.magType,properties.mmi,properties.net,properties.nst,properties.place,properties.rms,properties.sig,properties.sources,properties.status,properties.time,properties.title,properties.tsunami,properties.type,properties.types,properties.tz,properties.updated,properties.url,type
"[-122.8259964, 38.8246651, 0.28]",Point,nc72588976,,,72588976,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588976.geojson,0.007224,,92.0,",nc72588976,",0.43,md,,nc,9.0,"8km W of Cobb, California",0.03,3,",nc,",automatic,1454686370010,"M 0.4 - 8km W of Cobb, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454686464460,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588976,Feature
"[-116.1996667, 33.7551667, 1.84]",Point,ci37520736,,,37520736,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37520736.geojson,0.04532,,128.0,",ci37520736,",0.82,ml,,ci,12.0,"4km NNE of Indio, California",0.19,10,",ci,",automatic,1454686320060,"M 0.8 - 4km NNE of Indio, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,tectonic-summary,",-480,1454686547179,http://earthquake.usgs.gov/earthquakes/eventpage/ci37520736,Feature
"[-122.824501, 38.8253326, 0.65]",Point,nc72588971,,,72588971,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588971.geojson,0.008517,,71.0,",nc72588971,",0.69,md,,nc,10.0,"7km NW of The Geysers, California",0.02,7,",nc,",automatic,1454686292680,"M 0.7 - 7km NW of The Geysers, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454686384500,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588971,Feature
"[-122.8268356, 38.8218346, 0.54]",Point,nc72588966,,,72588966,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588966.geojson,0.006528,,85.0,",nc72588966,",0.84,md,,nc,9.0,"7km NW of The Geysers, California",0.01,11,",nc,",automatic,1454686260190,"M 0.8 - 7km NW of The Geysers, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454686354470,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588966,Feature
"[-122.8228302, 38.8223343, 0.31]",Point,nc72588961,,1.0,72588961,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588961.geojson,0.01002,0.0,46.0,",nc72588961,",2.21,md,,nc,34.0,"7km NW of The Geysers, California",0.05,75,",nc,",automatic,1454686187680,"M 2.2 - 7km NW of The Geysers, California",0,earthquake,",dyfi,focal-mechanism,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454686564907,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588961,Feature
"[-122.824501, 38.8241653, 0.18]",Point,nc72588956,,1.0,72588956,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588956.geojson,0.0113,0.0,39.0,",nc72588956,",1.53,md,,nc,22.0,"7km NW of The Geysers, California",0.03,36,",nc,",automatic,1454685974130,"M 1.5 - 7km NW of The Geysers, California",0,earthquake,",dyfi,general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454686564755,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588956,Feature
"[-122.7850037, 38.7915001, -0.3]",Point,nc72588951,,,72588951,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc72588951.geojson,0.002828,,93.0,",nc72588951,",1.21,md,,nc,16.0,"2km WNW of The Geysers, California",0.05,23,",nc,",automatic,1454683792560,"M 1.2 - 2km WNW of The Geysers, California",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1454684763692,http://earthquake.usgs.gov/earthquakes/eventpage/nc72588951,Feature
"[-151.1366, 61.0789, 80.2]",Point,ak12704648,,,12704648,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak12704648.geojson,,,,",ak12704648,",2.2,ml,,ak,,"44km N of Nikiski, Alaska",0.38,74,",ak,",automatic,1454682974000,"M 2.2 - 44km N of Nikiski, Alaska",0,earthquake,",general-link,geoserve,nearby-cities,origin,tectonic-summary,",-540,1454685984936,http://earthquake.usgs.gov/earthquakes/eventpage/ak12704648,Feature
"[169.0615, -19.0739, 106.48]",Point,us20004y2m,,1.0,20004y2m,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us20004y2m.geojson,2.409,0.0,68.0,",us20004y2m,",4.9,mb,,us,,"56km NNW of Isangel, Vanuatu",1.38,369,",us,",reviewed,1454681539700,"M 4.9 - 56km NNW of Isangel, Vanuatu",0,earthquake,",cap,dyfi,geoserve,nearby-cities,origin,phase-data,tectonic-summary,",660,1454682702435,http://earthquake.usgs.gov/earthquakes/eventpage/us20004y2m,Feature
"[-115.3285, 37.2247, 0.8]",Point,nn00530081,,,00530081,http://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00530081.geojson,0.292,,90.59,",nn00530081,",1.9,ml,,nn,26.0,"21km SW of Alamo, Nevada",,56,",nn,",automatic,1454681415890,"M 1.9 - 21km SW of Alamo, Nevada",0,earthquake,",general-link,geoserve,nearby-cities,origin,phase-data,",-480,1454681610997,http://earthquake.usgs.gov/earthquakes/eventpage/nn00530081,Feature
