,base,date,rates.AUD,rates.BGN,rates.BRL,rates.CAD,rates.CHF,rates.CNY,rates.CZK,rates.DKK,rates.EUR,rates.GBP,rates.HKD,rates.HRK,rates.HUF,rates.IDR,rates.ILS,rates.INR,rates.JPY,rates.KRW,rates.MXN,rates.MYR,rates.NOK,rates.NZD,rates.PHP,rates.PLN,rates.RON,rates.RUB,rates.SEK,rates.SGD,rates.THB,rates.TRY,rates.ZAR
0,USD,2016-01-06,1.4138,1.8207,4.0338,1.4091,1.0097,6.5526,25.159,6.945,0.93093,0.68367,7.7519,7.1127,293.06,13954.0,3.9461,66.863,118.4,1200.1,17.453,4.4115,8.9578,1.5049,47.094,4.0378,4.21,74.464,8.5952,1.4345,36.229,3.0083,15.829
1,USD,2016-01-06,1.4138,1.8207,4.0338,1.4091,1.0097,6.5526,25.159,6.945,0.93093,0.68367,7.7519,7.1127,293.06,13954.0,3.9461,66.863,118.4,1200.1,17.453,4.4115,8.9578,1.5049,47.094,4.0378,4.21,74.464,8.5952,1.4345,36.229,3.0083,15.829
2,USD,2016-01-05,1.3942,1.82,4.0036,1.3936,1.0094,6.5209,25.146,6.9426,0.93058,0.68151,7.7514,7.1085,293.32,13847.0,3.9218,66.587,119.0,1188.4,17.29,4.343,8.9224,1.489,46.874,4.0093,4.2125,73.387,8.5832,1.4247,36.121,2.9787,15.601
3,USD,2016-01-04,1.3904,1.7946,4.0395,1.3922,0.99936,6.534,24.796,6.8471,0.9176,0.67728,7.7504,7.0118,289.4,13943.0,3.9144,66.633,119.09,1190.9,17.375,4.346,8.8525,1.4816,47.158,3.9415,4.1448,73.109,8.414,1.4253,36.16,2.954,15.559
4,USD,2015-12-31,1.3683,1.7965,3.9604,1.3884,0.99522,6.4855,24.821,6.8546,0.91853,0.67415,7.7502,7.0157,290.24,13815.0,3.902,66.154,120.39,1176.4,17.373,4.3133,8.8206,1.4626,46.844,3.9165,4.1554,74.101,8.4408,1.4161,36.05,2.9177,15.572
5,USD,2015-12-31,1.3683,1.7965,3.9604,1.3884,0.99522,6.4855,24.821,6.8546,0.91853,0.67415,7.7502,7.0157,290.24,13815.0,3.902,66.154,120.39,1176.4,17.373,4.3133,8.8206,1.4626,46.844,3.9165,4.1554,74.101,8.4408,1.4161,36.05,2.9177,15.572
6,USD,2015-12-31,1.3683,1.7965,3.9604,1.3884,0.99522,6.4855,24.821,6.8546,0.91853,0.67415,7.7502,7.0157,290.24,13815.0,3.902,66.154,120.39,1176.4,17.373,4.3133,8.8206,1.4626,46.844,3.9165,4.1554,74.101,8.4408,1.4161,36.05,2.9177,15.572
7,USD,2015-12-31,1.3683,1.7965,3.9604,1.3884,0.99522,6.4855,24.821,6.8546,0.91853,0.67415,7.7502,7.0157,290.24,13815.0,3.902,66.154,120.39,1176.4,17.373,4.3133,8.8206,1.4626,46.844,3.9165,4.1554,74.101,8.4408,1.4161,36.05,2.9177,15.572
8,USD,2015-12-30,1.372,1.79,3.898,1.3885,0.98975,6.49,24.738,6.83,0.91525,0.67544,7.7508,6.9897,286.61,13803.0,3.8995,66.388,120.5,1175.9,17.286,4.2913,8.801,1.4606,46.935,3.8807,4.1457,72.995,8.4091,1.414,36.0,2.9139,15.454
9,USD,2015-12-29,1.3747,1.7858,3.852,1.3916,0.99032,6.4888,24.679,6.8142,0.91308,0.67572,7.7504,6.9743,286.94,13723.0,3.8842,66.331,120.42,1170.7,17.205,4.2965,8.6847,1.4563,47.036,3.8682,4.1426,72.527,8.3608,1.4123,36.083,2.9107,15.303
10,USD,2015-12-28,1.3765,1.7842,3.9257,1.3872,0.98869,6.4873,24.651,6.8082,0.91224,0.67082,7.7501,6.96,286.56,13654.0,3.8834,66.103,120.46,1168.4,17.273,4.2984,8.701,1.4613,47.041,3.8729,4.1284,71.945,8.3801,1.4081,36.128,2.9122,15.249
11,USD,2015-12-24,1.377,1.7866,3.941,1.387,0.98712,6.4748,24.69,6.8172,0.91349,0.67069,7.7509,6.9814,288.58,13632.0,3.8891,66.21,120.43,1168.7,17.275,4.2882,8.6891,1.4663,47.049,3.8743,4.1367,70.293,8.395,1.4064,36.03,2.9223,15.187
